iter	Passed	Remaining
0	10	2025
1	19	1962
2	28	1904
3	40	2003
4	51	2009
5	61	1992
6	70	1956
7	80	1926
8	88	1888
9	98	1863
10	106	1834
11	116	1825
12	126	1824
13	138	1843
14	148	1834
15	162	1866
16	175	1891
17	186	1890
18	197	1883
19	207	1868
20	227	1938
21	237	1919
22	247	1902
23	257	1890
24	271	1898
25	281	1886
26	291	1870
27	301	1849
28	310	1828
29	319	1811
30	328	1789
31	338	1775
32	348	1763
33	358	1750
34	368	1735
35	378	1724
36	389	1716
37	399	1703
38	411	1697
39	421	1686
40	432	1676
41	446	1679
42	460	1680
43	474	1683
44	487	1679
45	512	1717
46	524	1708
47	535	1696
48	546	1685
49	561	1683
50	575	1680
51	589	1679
52	606	1682
53	621	1679
54	634	1672
55	647	1666
56	660	1658
57	674	1652
58	685	1639
59	696	1624
60	706	1610
61	716	1595
62	728	1584
63	742	1577
64	754	1567
65	766	1556
66	777	1543
67	790	1534
68	803	1524
69	817	1517
70	831	1510
71	844	1500
72	856	1490
73	868	1478
74	879	1465
75	890	1452
76	900	1438
77	911	1425
78	922	1413
79	934	1401
80	945	1389
81	955	1375
82	966	1362
83	976	1348
84	986	1334
85	997	1321
86	1007	1308
87	1017	1295
88	1027	1281
89	1037	1268
90	1047	1254
91	1057	1241
92	1067	1228
93	1078	1215
94	1087	1202
95	1098	1189
96	1108	1176
97	1119	1164
98	1128	1151
99	1139	1139
100	1150	1127
101	1161	1115
102	1171	1103
103	1182	1091
104	1193	1079
105	1204	1067
106	1214	1055
107	1223	1042
108	1234	1030
109	1244	1018
110	1253	1005
111	1263	992
112	1273	980
113	1283	968
114	1292	955
115	1302	942
116	1312	931
117	1321	918
118	1331	906
119	1341	894
120	1351	882
121	1361	870
122	1371	858
123	1380	845
124	1390	834
125	1401	823
126	1411	811
127	1421	799
128	1432	788
129	1442	776
130	1452	764
131	1462	753
132	1472	741
133	1482	730
134	1491	718
135	1500	706
136	1510	694
137	1519	682
138	1528	670
139	1537	658
140	1546	647
141	1555	635
142	1565	624
143	1575	612
144	1585	601
145	1594	589
146	1604	578
147	1613	566
148	1635	559
149	1645	548
150	1654	536
151	1663	525
152	1672	513
153	1682	502
154	1692	491
155	1702	480
156	1713	469
157	1723	458
158	1734	447
159	1743	435
160	1752	424
161	1762	413
162	1773	402
163	1782	391
164	1791	380
165	1801	368
166	1810	357
167	1819	346
168	1828	335
169	1837	324
170	1846	313
171	1856	302
172	1866	291
173	1874	280
174	1884	269
175	1893	258
176	1903	247
177	1913	236
178	1922	225
179	1932	214
180	1941	203
181	1951	193
182	1961	182
183	1971	171
184	1980	160
185	1989	149
186	1998	138
187	2006	128
188	2015	117
189	2024	106
190	2032	95
191	2041	85
192	2049	74
193	2058	63
194	2067	53
195	2076	42
196	2085	31
197	2094	21
198	2103	10
199	2112	0
